Week,Flair & Type, Points
6,Arts and Miscellaneous & Video,13,
6, Fluff & Image,43,
6, Fluff & Video,80,
6,Suggestion and Feedback & Video,20,
6,Other & Video,26,
6,Discussion & Image,13,
6,Discussion & Video,52,
6,Discussion & Other,0,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,55,
7,Suggestion and Feedback & Image,19,
7, Fluff & Image,96,
7, Fluff & Video,40,
7,Other & Image,4,
7,Other & Video,85,
7,Discussion & Image,6,
7,Discussion & Video,52,
7,Discussion & Other,0,
7,Arts and Miscellaneous & Text,0,
7,Arts and Miscellaneous & Image,23,
8,Arts and Miscellaneous & Video,5,
8, Fluff & Image,74,
8, Fluff & Video,93,
8,News and Announcements & Video,4,
8,Other & Image,68,
8,Discussion & Image,2,
8,Discussion & Video,59,
8,Discussion & Other,0,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,20,
9,Suggestion and Feedback & Image,14,
9, Fluff & Image,111,
9, Fluff & Video,54,
9,Suggestion and Feedback & Video,15,
9,Other & Image,24,
9,Discussion & Image,44,
9,Discussion & Video,23,
9,Discussion & Other,0,
9,Arts and Miscellaneous & Text,0,
9,Arts and Miscellaneous & Image,31,
10,News and Announcements & Image,19,
10,Bugs and Reports & Video,24,
10, Fluff & Video,69,
10,Suggestion and Feedback & Image,5,
10,Other & Image,17,
10,Other & Video,41,
10,Discussion & Video,84,
10,Discussion & Other,0,
10,Arts and Miscellaneous & Text,0,
10,Arts and Miscellaneous & Image,57,
11,Arts and Miscellaneous & Video,7,
11, Fluff & Image,44,
11, Fluff & Video,58,
11,Other & Video,27,
11,Discussion & Text,0,
11,Discussion & Image,31,
11,Discussion & Video,125,
11,Discussion & Other,0,
11,Arts and Miscellaneous & Text,0,
11,Arts and Miscellaneous & Image,33,
