Week,Flair,Flair Points
6, Fluff,123
6,Discussion,65
6,Arts and Miscellaneous,68
6,Clips and Highlights,0
6,News and Announcements,0
6,Guides and Tips,0
6,Bugs and Reports,0
6,Suggestion and Feedback,20
6,Other,26
7, Fluff,136
7,Discussion,58
7,Arts and Miscellaneous,23
7,Clips and Highlights,0
7,News and Announcements,0
7,Guides and Tips,0
7,Bugs and Reports,0
7,Suggestion and Feedback,19
7,Other,89
8, Fluff,167
8,Discussion,61
8,Arts and Miscellaneous,25
8,Clips and Highlights,0
8,News and Announcements,4
8,Guides and Tips,0
8,Bugs and Reports,0
8,Suggestion and Feedback,0
8,Other,68
9, Fluff,165
9,Discussion,67
9,Arts and Miscellaneous,31
9,Clips and Highlights,0
9,News and Announcements,0
9,Guides and Tips,0
9,Bugs and Reports,0
9,Suggestion and Feedback,29
9,Other,24
10, Fluff,69
10,Discussion,84
10,Arts and Miscellaneous,57
10,Clips and Highlights,0
10,News and Announcements,19
10,Guides and Tips,0
10,Bugs and Reports,24
10,Suggestion and Feedback,5
10,Other,58
11, Fluff,102
11,Discussion,156
11,Arts and Miscellaneous,40
11,Clips and Highlights,0
11,News and Announcements,0
11,Guides and Tips,0
11,Bugs and Reports,0
11,Suggestion and Feedback,0
11,Other,27
