Week,Flair & Type, Points
6,Clips and Highlights & Video,23,
6, Fluff & Image,51,
6, Fluff & Video,6,
6, Fluff & Other,4,
6,Guides and Tips & Video,16,
6,Discussion & Image,26,
6,Discussion & Video,118,
6,Discussion & Other,8,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,2,
7, Fluff & Text,19,
7, Fluff & Image,88,
7,Clips and Highlights & Video,45,
7, Fluff & Other,9,
7,Discussion & Text,12,
7,Discussion & Image,17,
7,Discussion & Video,31,
7,Discussion & Other,38,
7,News and Announcements & Other,6,
7,Arts and Miscellaneous & Image,0,
8,Clips and Highlights & Video,23,
8, Fluff & Image,49,
8,News and Announcements & Image,18,
8, Fluff & Other,21,
8,Discussion & Text,20,
8,Suggestion and Feedback & Text,23,
8,Discussion & Video,25,
8,Discussion & Other,31,
8,News and Announcements & Other,16,
8,Guides and Tips & Image,24,
9,Arts and Miscellaneous & Video,16,
9, Fluff & Image,139,
9,Clips and Highlights & Video,14,
9, Fluff & Other,5,
9,News and Announcements & Other,25,
9,Discussion & Image,13,
9,Discussion & Video,24,
9,Discussion & Other,11,
9,Suggestion and Feedback & Video,15,
9,Arts and Miscellaneous & Image,52,
10,Clips and Highlights & Image,20,
10, Fluff & Image,36,
10, Fluff & Video,23,
10,Clips and Highlights & Video,10,
10,Discussion & Text,42,
10,Discussion & Image,88,
10,Discussion & Video,23,
10,Discussion & Other,23,
10,News and Announcements & Other,9,
10,Arts and Miscellaneous & Image,36,
11,Clips and Highlights & Video,30,
11, Fluff & Image,92,
11, Fluff & Video,38,
11, Fluff & Other,16,
11,Suggestion and Feedback & Image,17,
11,Discussion & Image,21,
11,Discussion & Video,44,
11,Discussion & Other,25,
11,News and Announcements & Image,10,
11,News and Announcements & Video,18,
