Week,Flair,Flair Points
6, Fluff,61,
6,Discussion,152,
6,Arts and Miscellaneous,2,
6,Clips and Highlights,23,
6,News and Announcements,0,
6,Guides and Tips,16,
6,Bugs and Reports,0,
6,Suggestion and Feedback,0,
6,Other,0,
7, Fluff,116,
7,Discussion,98,
7,Arts and Miscellaneous,0,
7,Clips and Highlights,45,
7,News and Announcements,6,
7,Guides and Tips,0,
7,Bugs and Reports,0,
7,Suggestion and Feedback,0,
7,Other,0,
8, Fluff,70,
8,Discussion,88,
8,Arts and Miscellaneous,0,
8,Clips and Highlights,23,
8,News and Announcements,34,
8,Guides and Tips,24,
8,Bugs and Reports,0,
8,Suggestion and Feedback,23,
8,Other,0,
9, Fluff,144,
9,Discussion,48,
9,Arts and Miscellaneous,68,
9,Clips and Highlights,14,
9,News and Announcements,25,
9,Guides and Tips,0,
9,Bugs and Reports,0,
9,Suggestion and Feedback,15,
9,Other,0,
10, Fluff,59,
10,Discussion,176,
10,Arts and Miscellaneous,36,
10,Clips and Highlights,30,
10,News and Announcements,9,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,0,
10,Other,0,
11, Fluff,146,
11,Discussion,91,
11,Arts and Miscellaneous,0,
11,Clips and Highlights,30,
11,News and Announcements,28,
11,Guides and Tips,0,
11,Bugs and Reports,0,
11,Suggestion and Feedback,17,
11,Other,0,
