Week,Flair & Type, Points
6,News and Announcements & Image,6,
6,Bugs and Reports & Text,13,
6, Fluff & Video,11,
6,Bugs and Reports & Video,16,
6,Discussion & Text,9,
6,Suggestion and Feedback & Text,16,
6,Discussion & Video,167,
6,Discussion & Other,0,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,0,
7,Guides and Tips & Image,7,
7,Suggestion and Feedback & Text,10,
7, Fluff & Video,0,
7, Fluff & Other,0,
7,Discussion & Text,75,
7,Discussion & Image,28,
7,Discussion & Video,77,
7,Discussion & Other,0,
7,Arts and Miscellaneous & Text,0,
7,Arts and Miscellaneous & Image,0,
8,Arts and Miscellaneous & Video,9,
8, Fluff & Image,0,
8, Fluff & Video,0,
8, Fluff & Other,0,
8,Discussion & Text,13,
8,Discussion & Image,20,
8,Discussion & Video,158,
8,Discussion & Other,0,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,0,
9,Arts and Miscellaneous & Video,20,
9,Suggestion and Feedback & Text,20,
9, Fluff & Video,16,
9, Fluff & Other,0,
9,Discussion & Text,0,
9,Discussion & Image,11,
9,Discussion & Video,177,
9,Discussion & Other,0,
9,Arts and Miscellaneous & Text,0,
9,Arts and Miscellaneous & Image,17,
10,Arts and Miscellaneous & Video,16,
10,Suggestion and Feedback & Text,8,
10, Fluff & Video,0,
10, Fluff & Other,0,
10,Discussion & Text,1,
10,Discussion & Image,22,
10,Discussion & Video,159,
10,Discussion & Other,0,
10,Arts and Miscellaneous & Text,0,
10,Arts and Miscellaneous & Image,3,
11,Arts and Miscellaneous & Video,47,
11,Suggestion and Feedback & Text,25,
11, Fluff & Video,24,
11, Fluff & Other,0,
11,Discussion & Text,62,
11,Discussion & Image,21,
11,Discussion & Video,66,
11,Discussion & Other,0,
11,Arts and Miscellaneous & Text,0,
11,Arts and Miscellaneous & Image,20,
