Week,Flair,Flair Points
6, Fluff,11,
6,Discussion,176,
6,Arts and Miscellaneous,0,
6,Clips and Highlights,0,
6,News and Announcements,6,
6,Guides and Tips,0,
6,Bugs and Reports,29,
6,Suggestion and Feedback,16,
6,Other,0,
7, Fluff,0,
7,Discussion,180,
7,Arts and Miscellaneous,0,
7,Clips and Highlights,0,
7,News and Announcements,0,
7,Guides and Tips,7,
7,Bugs and Reports,0,
7,Suggestion and Feedback,10,
7,Other,0,
8, Fluff,0,
8,Discussion,191,
8,Arts and Miscellaneous,9,
8,Clips and Highlights,0,
8,News and Announcements,0,
8,Guides and Tips,0,
8,Bugs and Reports,0,
8,Suggestion and Feedback,0,
8,Other,0,
9, Fluff,16,
9,Discussion,188,
9,Arts and Miscellaneous,37,
9,Clips and Highlights,0,
9,News and Announcements,0,
9,Guides and Tips,0,
9,Bugs and Reports,0,
9,Suggestion and Feedback,20,
9,Other,0,
10, Fluff,0,
10,Discussion,182,
10,Arts and Miscellaneous,19,
10,Clips and Highlights,0,
10,News and Announcements,0,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,8,
10,Other,0,
11, Fluff,24,
11,Discussion,149,
11,Arts and Miscellaneous,67,
11,Clips and Highlights,0,
11,News and Announcements,0,
11,Guides and Tips,0,
11,Bugs and Reports,0,
11,Suggestion and Feedback,25,
11,Other,0,
