Week,Flair & Type, Points
6,Clips and Highlights & Video,18,
6, Fluff & Image,96,
6, Fluff & Video,31,
6,News and Announcements & Text,14,
6,Other & Image,24,
6,Discussion & Image,35,
6,Bugs and Reports & Text,7,
6,Discussion & Other,23,
6,Other & Text,17,
6,Arts and Miscellaneous & Image,34,
7,Bugs and Reports & Video,16,
7, Fluff & Image,94,
7,Clips and Highlights & Image,19,
7,Clips and Highlights & Video,40,
7,Discussion & Text,12,
7,Discussion & Image,53,
7,Other & Text,15,
7,Other & Image,43,
7,News and Announcements & Other,9,
7,Arts and Miscellaneous & Image,8,
8,Clips and Highlights & Video,8,
8, Fluff & Image,115,
8,News and Announcements & Other,20,
8,Bugs and Reports & Text,5,
8,Bugs and Reports & Image,19,
8,Discussion & Image,63,
8,Suggestion and Feedback & Image,3,
8,Other & Image,47,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,35,
9,Arts and Miscellaneous & Video,16,
9, Fluff & Image,49,
9, Fluff & Video,14,
9,Bugs and Reports & Image,34,
9,Discussion & Text,17,
9,Suggestion and Feedback & Text,15,
9,Clips and Highlights & Video,94,
9,News and Announcements & Other,9,
9,Bugs and Reports & Text,8,
9,Arts and Miscellaneous & Image,35,
10, Fluff & Text,28,
10, Fluff & Image,123,
10,Clips and Highlights & Video,12,
10,News and Announcements & Other,3,
10,Discussion & Text,13,
10,Discussion & Image,22,
10,Suggestion and Feedback & Image,11,
10,Other & Image,3,
10,Other & Other,24,
10,Arts and Miscellaneous & Image,60,
11, Fluff & Text,21,
11, Fluff & Image,119,
11,Other & Image,15,
11,News and Announcements & Other,45,
11,Discussion & Text,21,
11,Discussion & Image,18,
11,Other & Text,6,
11,Bugs and Reports & Image,16,
11,Bugs and Reports & Video,16,
11,Arts and Miscellaneous & Image,39,
