Week,Flair,Flair Points
6, Fluff,127,
6,Discussion,58,
6,Arts and Miscellaneous,34,
6,Clips and Highlights,18,
6,News and Announcements,20,
6,Guides and Tips,0,
6,Bugs and Reports,7,
6,Suggestion and Feedback,0,
6,Other,41,
7, Fluff,96,
7,Discussion,65,
7,Arts and Miscellaneous,8,
7,Clips and Highlights,59,
7,News and Announcements,18,
7,Guides and Tips,0,
7,Bugs and Reports,16,
7,Suggestion and Feedback,5,
7,Other,58,
8, Fluff,115,
8,Discussion,63,
8,Arts and Miscellaneous,35,
8,Clips and Highlights,8,
8,News and Announcements,20,
8,Guides and Tips,0,
8,Bugs and Reports,24,
8,Suggestion and Feedback,3,
8,Other,47,
9, Fluff,63,
9,Discussion,22,
9,Arts and Miscellaneous,55,
9,Clips and Highlights,94,
9,News and Announcements,9,
9,Guides and Tips,0,
9,Bugs and Reports,42,
9,Suggestion and Feedback,15,
9,Other,0,
10, Fluff,151,
10,Discussion,35,
10,Arts and Miscellaneous,60,
10,Clips and Highlights,12,
10,News and Announcements,3,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,11,
10,Other,27,
11, Fluff,146,
11,Discussion,39,
11,Arts and Miscellaneous,39,
11,Clips and Highlights,0,
11,News and Announcements,45,
11,Guides and Tips,3,
11,Bugs and Reports,32,
11,Suggestion and Feedback,0,
11,Other,21,
