Week,Flair & Type, Points
6,Arts and Miscellaneous & Video,1,
6, Fluff & Image,98,
6, Fluff & Video,37,
6,Clips and Highlights & Video,70,
6,Suggestion and Feedback & Image,30,
6,Discussion & Image,59,
6,Discussion & Video,21,
6,Discussion & Other,0,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,9,
7,Clips and Highlights & Video,13,
7, Fluff & Image,78,
7, Fluff & Video,45,
7,Suggestion and Feedback & Image,11,
7,Discussion & Text,0,
7,Discussion & Image,85,
7,Discussion & Video,48,
7,Discussion & Other,0,
7,Arts and Miscellaneous & Text,0,
7,Arts and Miscellaneous & Image,43,
8,Arts and Miscellaneous & Video,13,
8, Fluff & Image,162,
8, Fluff & Video,31,
8,Suggestion and Feedback & Image,31,
8,Other & Image,3,
8,Discussion & Image,15,
8,Discussion & Video,50,
8,Other & Video,6,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,14,
9,Clips and Highlights & Video,26,
9, Fluff & Image,85,
9,Bugs and Reports & Video,36,
9,Suggestion and Feedback & Image,35,
9,Other & Image,41,
9,Discussion & Image,59,
9,Discussion & Video,11,
9,Discussion & Other,0,
9,Arts and Miscellaneous & Text,0,
9,Arts and Miscellaneous & Image,32,
10,Clips and Highlights & Video,59,
10, Fluff & Image,84,
10, Fluff & Video,39,
10,Suggestion and Feedback & Image,16,
10,Other & Image,22,
10,Discussion & Image,57,
10,Other & Video,20,
10,Discussion & Other,0,
10,Arts and Miscellaneous & Text,0,
10,Arts and Miscellaneous & Image,28,
11,Clips and Highlights & Video,32,
11, Fluff & Image,73,
11, Fluff & Video,25,
11,Guides and Tips & Image,18,
11,Suggestion and Feedback & Image,14,
11,Discussion & Image,80,
11,Suggestion and Feedback & Video,30,
11,Other & Image,37,
11,Arts and Miscellaneous & Text,0,
11,Arts and Miscellaneous & Image,16,
