Week,Flair,Flair Points
6, Fluff,135,
6,Discussion,80,
6,Arts and Miscellaneous,10,
6,Clips and Highlights,70,
6,News and Announcements,0,
6,Guides and Tips,0,
6,Bugs and Reports,0,
6,Suggestion and Feedback,30,
6,Other,0,
7, Fluff,123,
7,Discussion,133,
7,Arts and Miscellaneous,43,
7,Clips and Highlights,13,
7,News and Announcements,0,
7,Guides and Tips,0,
7,Bugs and Reports,0,
7,Suggestion and Feedback,11,
7,Other,0,
8, Fluff,193,
8,Discussion,65,
8,Arts and Miscellaneous,27,
8,Clips and Highlights,0,
8,News and Announcements,0,
8,Guides and Tips,0,
8,Bugs and Reports,0,
8,Suggestion and Feedback,31,
8,Other,9,
9, Fluff,85,
9,Discussion,70,
9,Arts and Miscellaneous,32,
9,Clips and Highlights,26,
9,News and Announcements,0,
9,Guides and Tips,0,
9,Bugs and Reports,36,
9,Suggestion and Feedback,35,
9,Other,41,
10, Fluff,123,
10,Discussion,57,
10,Arts and Miscellaneous,28,
10,Clips and Highlights,59,
10,News and Announcements,0,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,16,
10,Other,42,
11, Fluff,98,
11,Discussion,80,
11,Arts and Miscellaneous,16,
11,Clips and Highlights,32,
11,News and Announcements,0,
11,Guides and Tips,18,
11,Bugs and Reports,0,
11,Suggestion and Feedback,44,
11,Other,37,
