Week,Flair & Type, Points
6,News and Announcements & Text,8,
6, Fluff & Image,136,
6, Fluff & Video,24,
6,News and Announcements & Image,18,
6,Discussion & Text,42,
6,Discussion & Image,64,
6,Discussion & Video,23,
6,Discussion & Other,10,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,0,
7,News and Announcements & Other,16,
7, Fluff & Image,90,
7, Fluff & Video,0,
7, Fluff & Other,17,
7,Discussion & Text,134,
7,Discussion & Image,68,
7,Discussion & Video,0,
7,Discussion & Other,0,
7,Arts and Miscellaneous & Text,0,
7,Arts and Miscellaneous & Image,0,
8, Fluff & Text,13,
8, Fluff & Image,145,
8,Clips and Highlights & Video,22,
8,News and Announcements & Image,14,
8,Discussion & Text,28,
8,Discussion & Image,91,
8,Other & Image,12,
8,Discussion & Other,0,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,0,
9, Fluff & Text,21,
9, Fluff & Image,175,
9,Clips and Highlights & Image,24,
9,News and Announcements & Other,33,
9,Discussion & Text,13,
9,Discussion & Image,29,
9,Discussion & Video,0,
9,Discussion & Other,0,
9,Arts and Miscellaneous & Text,0,
9,Arts and Miscellaneous & Image,30,
10,News and Announcements & Other,3,
10, Fluff & Image,190,
10,Other & Video,22,
10, Fluff & Other,6,
10,Discussion & Text,58,
10,Discussion & Image,21,
10,Discussion & Video,13,
10,Discussion & Other,0,
10,Arts and Miscellaneous & Text,0,
10,Arts and Miscellaneous & Image,12,
11,Clips and Highlights & Image,10,
11, Fluff & Image,222,
11,News and Announcements & Other,6,
11,Other & Image,16,
11,Discussion & Text,24,
11,Discussion & Image,37,
11,Discussion & Video,7,
11,Discussion & Other,0,
11,Arts and Miscellaneous & Text,0,
11,Arts and Miscellaneous & Image,3,
