Week,Flair,Flair Points
6, Fluff,160,
6,Discussion,139,
6,Arts and Miscellaneous,0,
6,Clips and Highlights,0,
6,News and Announcements,26,
6,Guides and Tips,0,
6,Bugs and Reports,0,
6,Suggestion and Feedback,0,
6,Other,0,
7, Fluff,107,
7,Discussion,202,
7,Arts and Miscellaneous,0,
7,Clips and Highlights,0,
7,News and Announcements,16,
7,Guides and Tips,0,
7,Bugs and Reports,0,
7,Suggestion and Feedback,0,
7,Other,0,
8, Fluff,158,
8,Discussion,119,
8,Arts and Miscellaneous,0,
8,Clips and Highlights,22,
8,News and Announcements,14,
8,Guides and Tips,0,
8,Bugs and Reports,0,
8,Suggestion and Feedback,0,
8,Other,12,
9, Fluff,196,
9,Discussion,42,
9,Arts and Miscellaneous,30,
9,Clips and Highlights,24,
9,News and Announcements,33,
9,Guides and Tips,0,
9,Bugs and Reports,0,
9,Suggestion and Feedback,0,
9,Other,0,
10, Fluff,196,
10,Discussion,92,
10,Arts and Miscellaneous,12,
10,Clips and Highlights,0,
10,News and Announcements,3,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,0,
10,Other,22,
11, Fluff,222,
11,Discussion,68,
11,Arts and Miscellaneous,3,
11,Clips and Highlights,10,
11,News and Announcements,6,
11,Guides and Tips,0,
11,Bugs and Reports,0,
11,Suggestion and Feedback,0,
11,Other,16,
