Week,Flair & Type, Points
6,Arts and Miscellaneous & Video,19,
6, Fluff & Image,56,
6, Fluff & Video,40,
6,Clips and Highlights & Image,24,
6,Clips and Highlights & Video,110,
6,News and Announcements & Video,21,
6,Discussion & Video,0,
6,Discussion & Other,0,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,55,
7,Clips and Highlights & Image,56,
7, Fluff & Image,48,
7, Fluff & Video,27,
7,Clips and Highlights & Video,90,
7,Discussion & Text,0,
7,Discussion & Image,0,
7,Discussion & Video,0,
7,Discussion & Other,0,
7,Arts and Miscellaneous & Text,0,
7,Arts and Miscellaneous & Image,104,
8,Clips and Highlights & Image,3,
8, Fluff & Image,43,
8, Fluff & Video,44,
8,Clips and Highlights & Video,145,
8,News and Announcements & Image,23,
8,Other & Video,10,
8,Discussion & Video,0,
8,Discussion & Other,0,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,57,
9,Arts and Miscellaneous & Video,16,
9, Fluff & Image,80,
9, Fluff & Video,35,
9,Clips and Highlights & Video,87,
9,Other & Video,18,
9,Discussion & Image,0,
9,Discussion & Video,0,
9,Discussion & Other,0,
9,Arts and Miscellaneous & Text,0,
9,Arts and Miscellaneous & Image,89,
10,Clips and Highlights & Image,8,
10, Fluff & Image,52,
10, Fluff & Video,10,
10,Clips and Highlights & Video,114,
10,Discussion & Text,0,
10,Discussion & Image,0,
10,Discussion & Video,0,
10,Discussion & Other,0,
10,Arts and Miscellaneous & Text,0,
10,Arts and Miscellaneous & Image,141,
11,Clips and Highlights & Video,48,
11, Fluff & Image,78,
11, Fluff & Video,20,
11,News and Announcements & Image,19,
11,News and Announcements & Video,4,
11,Discussion & Image,0,
11,Discussion & Video,0,
11,Discussion & Other,0,
11,Arts and Miscellaneous & Text,0,
11,Arts and Miscellaneous & Image,156,
