Week,Flair,Flair Points
6, Fluff,96,
6,Discussion,0,
6,Arts and Miscellaneous,74,
6,Clips and Highlights,134,
6,News and Announcements,21,
6,Guides and Tips,0,
6,Bugs and Reports,0,
6,Suggestion and Feedback,0,
6,Other,0,
7, Fluff,75,
7,Discussion,0,
7,Arts and Miscellaneous,104,
7,Clips and Highlights,146,
7,News and Announcements,0,
7,Guides and Tips,0,
7,Bugs and Reports,0,
7,Suggestion and Feedback,0,
7,Other,0,
8, Fluff,87,
8,Discussion,0,
8,Arts and Miscellaneous,57,
8,Clips and Highlights,148,
8,News and Announcements,23,
8,Guides and Tips,0,
8,Bugs and Reports,0,
8,Suggestion and Feedback,0,
8,Other,10,
9, Fluff,115,
9,Discussion,0,
9,Arts and Miscellaneous,105,
9,Clips and Highlights,87,
9,News and Announcements,0,
9,Guides and Tips,0,
9,Bugs and Reports,0,
9,Suggestion and Feedback,0,
9,Other,18,
10, Fluff,62,
10,Discussion,0,
10,Arts and Miscellaneous,141,
10,Clips and Highlights,122,
10,News and Announcements,0,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,0,
10,Other,0,
11, Fluff,98,
11,Discussion,0,
11,Arts and Miscellaneous,156,
11,Clips and Highlights,48,
11,News and Announcements,23,
11,Guides and Tips,0,
11,Bugs and Reports,0,
11,Suggestion and Feedback,0,
11,Other,0,
