Week,Flair & Type, Points
6,Clips and Highlights & Video,201,
6,News and Announcements & Other,6,
6,Suggestion and Feedback & Text,9,
6, Fluff & Other,0,
6,Discussion & Text,38,
6,Discussion & Image,0,
6,Discussion & Video,56,
6,Discussion & Other,15,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,0,
7,Clips and Highlights & Video,159,
7,News and Announcements & Text,6,
7,Suggestion and Feedback & Text,13,
7, Fluff & Other,0,
7,Discussion & Text,4,
7,Discussion & Image,51,
7,Discussion & Video,45,
7,Discussion & Other,7,
7,Arts and Miscellaneous & Text,0,
7,Arts and Miscellaneous & Image,0,
8,Clips and Highlights & Video,163,
8,Clips and Highlights & Other,8,
8,Suggestion and Feedback & Text,14,
8,Suggestion and Feedback & Image,15,
8,Discussion & Text,0,
8,Discussion & Image,62,
8,Discussion & Video,43,
8,Discussion & Other,2,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,0,
9,Clips and Highlights & Video,123,
9,News and Announcements & Video,5,
9, Fluff & Video,0,
9, Fluff & Other,0,
9,Discussion & Text,5,
9,Discussion & Image,13,
9,Discussion & Video,140,
9,Discussion & Other,22,
9,Arts and Miscellaneous & Text,0,
9,Arts and Miscellaneous & Image,0,
10,Clips and Highlights & Video,84,
10,Clips and Highlights & Other,17,
10,News and Announcements & Other,4,
10,Suggestion and Feedback & Text,20,
10,Discussion & Text,30,
10,Discussion & Image,32,
10,Discussion & Video,52,
10,Discussion & Other,24,
10,Suggestion and Feedback & Image,18,
10,Arts and Miscellaneous & Image,0,
11,Clips and Highlights & Video,107,
11,Clips and Highlights & Other,18,
11,News and Announcements & Text,3,
11,Suggestion and Feedback & Text,29,
11,Discussion & Text,37,
11,Discussion & Image,31,
11,Discussion & Video,90,
11,Other & Text,10,
11,Arts and Miscellaneous & Text,0,
11,Arts and Miscellaneous & Image,0,
