Week,Flair,Flair Points
6, Fluff,0,
6,Discussion,109,
6,Arts and Miscellaneous,0,
6,Clips and Highlights,201,
6,News and Announcements,6,
6,Guides and Tips,0,
6,Bugs and Reports,0,
6,Suggestion and Feedback,9,
6,Other,0,
7, Fluff,0,
7,Discussion,107,
7,Arts and Miscellaneous,0,
7,Clips and Highlights,159,
7,News and Announcements,6,
7,Guides and Tips,0,
7,Bugs and Reports,0,
7,Suggestion and Feedback,13,
7,Other,0,
8, Fluff,0,
8,Discussion,107,
8,Arts and Miscellaneous,0,
8,Clips and Highlights,171,
8,News and Announcements,0,
8,Guides and Tips,0,
8,Bugs and Reports,0,
8,Suggestion and Feedback,29,
8,Other,0,
9, Fluff,0,
9,Discussion,180,
9,Arts and Miscellaneous,0,
9,Clips and Highlights,123,
9,News and Announcements,5,
9,Guides and Tips,0,
9,Bugs and Reports,0,
9,Suggestion and Feedback,0,
9,Other,0,
10, Fluff,0,
10,Discussion,138,
10,Arts and Miscellaneous,0,
10,Clips and Highlights,101,
10,News and Announcements,4,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,38,
10,Other,0,
11, Fluff,0,
11,Discussion,158,
11,Arts and Miscellaneous,0,
11,Clips and Highlights,125,
11,News and Announcements,3,
11,Guides and Tips,0,
11,Bugs and Reports,0,
11,Suggestion and Feedback,29,
11,Other,10,
