Week,Flair,Flair Points
6, Fluff,69,
6,Discussion,132,
6,Arts and Miscellaneous,86,
6,Clips and Highlights,0,
6,News and Announcements,14,
6,Guides and Tips,0,
6,Bugs and Reports,0,
6,Suggestion and Feedback,7,
6,Other,10,
7, Fluff,91,
7,Discussion,87,
7,Arts and Miscellaneous,66,
7,Clips and Highlights,0,
7,News and Announcements,10,
7,Guides and Tips,0,
7,Bugs and Reports,0,
7,Suggestion and Feedback,0,
7,Other,26,
8, Fluff,41,
8,Discussion,150,
8,Arts and Miscellaneous,84,
8,Clips and Highlights,0,
8,News and Announcements,0,
8,Guides and Tips,20,
8,Bugs and Reports,0,
8,Suggestion and Feedback,0,
8,Other,0,
9, Fluff,99,
9,Discussion,100,
9,Arts and Miscellaneous,99,
9,Clips and Highlights,0,
9,News and Announcements,0,
9,Guides and Tips,8,
9,Bugs and Reports,0,
9,Suggestion and Feedback,0,
9,Other,0,
10, Fluff,65,
10,Discussion,146,
10,Arts and Miscellaneous,114,
10,Clips and Highlights,0,
10,News and Announcements,0,
10,Guides and Tips,0,
10,Bugs and Reports,0,
10,Suggestion and Feedback,0,
10,Other,0,
11, Fluff,53,
11,Discussion,95,
11,Arts and Miscellaneous,132,
11,Clips and Highlights,0,
11,News and Announcements,17,
11,Guides and Tips,0,
11,Bugs and Reports,0,
11,Suggestion and Feedback,8,
11,Other,0,
