Week,Flair & Type, Points
6,Guides and Tips & Image,14,
6, Fluff & Image,157,
6, Fluff & Video,72,
6, Fluff & Other,8,
6,Bugs and Reports & Image,6,
6,Discussion & Image,10,
6,Discussion & Video,0,
6,Discussion & Other,0,
6,Arts and Miscellaneous & Text,0,
6,Arts and Miscellaneous & Image,41,
7, Fluff & Text,0,
7, Fluff & Image,219,
7, Fluff & Video,17,
7, Fluff & Other,0,
7,Discussion & Text,0,
7,Discussion & Image,44,
7,Discussion & Video,0,
7,Discussion & Other,0,
7,Arts and Miscellaneous & Text,0,
7,Arts and Miscellaneous & Image,45,
8,Suggestion and Feedback & Image,17,
8, Fluff & Image,243,
8, Fluff & Video,42,
8, Fluff & Other,0,
8,Discussion & Text,23,
8,Discussion & Image,0,
8,Discussion & Video,0,
8,Discussion & Other,0,
8,Arts and Miscellaneous & Text,0,
8,Arts and Miscellaneous & Image,0,
9,Arts and Miscellaneous & Video,25,
9, Fluff & Image,222,
9, Fluff & Video,23,
9,Guides and Tips & Image,3,
9,Bugs and Reports & Image,14,
9,Discussion & Image,4,
9,Suggestion and Feedback & Text,11,
9,Discussion & Other,0,
9,Arts and Miscellaneous & Text,0,
9,Arts and Miscellaneous & Image,0,
10,Suggestion and Feedback & Text,21,
10, Fluff & Image,132,
10, Fluff & Video,59,
10, Fluff & Other,0,
10,Discussion & Text,34,
10,Discussion & Image,0,
10,Discussion & Video,0,
10,Discussion & Other,23,
10,Arts and Miscellaneous & Text,0,
10,Arts and Miscellaneous & Image,39,
11, Fluff & Text,3,
11, Fluff & Image,146,
11, Fluff & Video,52,
11,Guides and Tips & Video,4,
11,Discussion & Text,33,
11,Bugs and Reports & Text,41,
11,Suggestion and Feedback & Text,12,
11,Discussion & Other,16,
11,Arts and Miscellaneous & Text,0,
11,Arts and Miscellaneous & Image,18,
